name,price,description,zodiac_sign,is_bestseller,tags,stock,category_id
"Amethyst Crystal Cluster","2499.00","Natural amethyst cluster for spiritual healing and meditation. Enhances intuition and promotes peaceful sleep.","Pisces","TRUE","Healing, Meditation, Peace","50","1"
"Rose Quartz Heart","1299.00","Heart-shaped rose quartz for love and emotional healing. Promotes self-love and compassion.","Taurus","TRUE","Love, Healing, Relationships","45","1"
"Citrine Crystal Point","899.00","Attracts prosperity, success, and abundance. Known as the merchant's stone for business growth.","Leo","TRUE","Success, Abundance, Energy","100","1"
"Black Tourmaline Rough","1299.00","Protection from negative energies and psychic attacks. Grounding and balancing stone.","Capricorn","FALSE","Protection, Grounding, Cleansing","75","1"
"Clear Quartz Wand","799.00","Master healer and energy amplifier. Enhances clarity of thought and spiritual awareness.","Aries","FALSE","Healing, Energy, Clarity","120","1"
"Selenite Charging Wand","599.00","Pure crystalline form of gypsum. Excellent for cleansing and charging other crystals and spaces.","Cancer","FALSE","Cleansing, Peace, Light","90","1"
"Lapis Lazuli Sphere","2499.00","Deep blue stone with gold flecks. Enhances wisdom, truth, and communication abilities.","Sagittarius","TRUE","Wisdom, Truth, Communication","50","1"
"Tiger Eye Tumbled Stone","599.00","Golden-brown stone with chatoyance effect. Brings courage, focus, and prosperity to the wearer.","Leo","TRUE","Courage, Focus, Prosperity","85","1"
"Jade Pendant","1899.00","Precious jade stone used in Eastern cultures for balance and harmony. Symbol of peace and purity.","Libra","FALSE","Balance, Harmony, Peace","40","1"
"Moonstone Bracelet","1499.00","Iridescent stone that channels lunar energy. Promotes intuition, dreams, and feminine energy.","Cancer","FALSE","Intuition, Dreams, Feminine","60","1"
"Tourmaline Rainbow Mix","1599.00","Multi-colored tourmaline set with variety of healing properties and spectrum of energies.","Virgo","FALSE","Energy, Healing, Variety","55","1"
"Obsidian Volcanic Glass","699.00","Protective dark stone formed from volcanic lava. Shields from negativity and psychic attack.","Scorpio","TRUE","Protection, Grounding, Power","95","1"
"Tarot Card Deck - Rider Waite","1999.00","Classic and most popular tarot deck. Includes 78 detailed cards and instruction booklet for divination.","Scorpio","FALSE","Divination, Guidance, Spirituality","25","2"
"Oracle Cards - Nature's Wisdom","1599.00","Beautiful illustrated oracle cards for daily guidance. Connects you with nature and cosmic messages.","Sagittarius","FALSE","Divination, Nature, Guidance","30","2"
"Meditation Cushion Deluxe","3499.00","Comfortable ergonomic cushion for meditation practice. Filled with buckwheat hulls, cotton cover.","Virgo","FALSE","Meditation, Comfort, Practice","35","3"
"Yoga Mat Premium","2499.00","Non-slip natural rubber yoga mat. Perfect for yoga, meditation, and spiritual practice.","Virgo","FALSE","Yoga, Practice, Flexibility","40","3"
"Incense Stick Sandalwood","399.00","Natural sandalwood incense sticks. Creates calming atmosphere and aids in meditation and relaxation.","Pisces","FALSE","Cleansing, Aroma, Relaxation","200","5"
"Incense Stick Lavender","349.00","Pure lavender incense for stress relief and peaceful sleep. Promotes relaxation and tranquility.","Libra","FALSE","Relaxation, Sleep, Peace","180","5"
"Incense Stick Patchouli","349.00","Earthy patchouli incense. Grounds energy and creates warm, inviting spiritual atmosphere.","Capricorn","FALSE","Grounding, Earthy, Spiritual","175","5"
"Sage Smudge Stick Bundle","599.00","White sage bundle for energy cleansing and purification. Traditional Native American spiritual tool.","Sagittarius","FALSE","Cleansing, Purification, Energy","120","5"
"Crystal Healing Set","4999.00","Complete set of 7 chakra crystals for comprehensive healing. Includes amethyst, lapis, aquamarine, green aventurine, citrine, carnelian, red jasper.","Aquarius","TRUE","Healing, Chakra, Balance","30","1"
"Zodiac Bracelet Aries","899.00","Crystal bracelet infused with Aries energy. Boosts courage, confidence, and leadership abilities.","Aries","TRUE","Zodiac, Energy, Protection","50","4"
"Zodiac Bracelet Taurus","899.00","Crystal bracelet infused with Taurus energy. Promotes stability, abundance, and material security.","Taurus","TRUE","Zodiac, Energy, Grounding","48","4"
"Zodiac Bracelet Gemini","899.00","Crystal bracelet infused with Gemini energy. Enhances communication, intellect, and adaptability.","Gemini","TRUE","Zodiac, Energy, Communication","46","4"
"Zodiac Bracelet Cancer","899.00","Crystal bracelet infused with Cancer energy. Nurtures emotional depth, intuition, and home harmony.","Cancer","TRUE","Zodiac, Energy, Intuition","44","4"
"Zodiac Bracelet Leo","899.00","Crystal bracelet infused with Leo energy. Amplifies confidence, creativity, and magnetic presence.","Leo","TRUE","Zodiac, Energy, Confidence","42","4"
"Tibetan Singing Bowl","3299.00","Handcrafted copper singing bowl from Nepal. Produces healing frequencies for meditation and sound therapy.","Libra","FALSE","Sound Healing, Meditation, Peace","20","2"
"Healing Wand Amethyst","1199.00","Wand carved from natural amethyst crystal. Channels purple ray healing energy for spiritual work.","Pisces","FALSE","Healing, Spiritual, Energy","65","1"
"Chakra Balancing Kit","2899.00","Complete chakra balancing system with stones, oils, and guide. Realign your seven energy centers.","Aquarius","FALSE","Chakra, Healing, Balance","25","1"
"Dreamcatcher Large","1299.00","Hand-woven dreamcatcher with feathers and crystals. Traditional Native American spirituality tool for peaceful dreams.","Pisces","FALSE","Dreams, Protection, Spirituality","35","4"
